X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
-0.03386, -0.10594,   0.47924, -0.45762, -0.47033,        0.01978, 0.09160,   -0.45047, 4.22510, -0.16263,        42.01085, 60.00000, 0.05451,            0.38893, 0.38114, 0.37979,   20.16169, 1471,      3,3,3    
-0.03471, -0.14129,   0.59477, -0.50867, -0.49473,        0.02044, 0.05142,   -0.33111, 4.17524, -0.34690,        42.08545, 60.00000, 0.05745,            0.38895, 0.38636, 0.37946,   20.11135, 1471,      3,3,3    
-0.03563, -0.03762,   0.34668, -0.54126, -0.32185,        0.02096, 0.05211,   -0.11564, 4.11731, -0.08166,        42.15174, 60.00000, 0.05914,            0.39895, 0.39238, 0.40540,   19.87598, 1467,      3,3,3    
-0.03693, -0.25982,   0.17051, -0.56020, -0.57993,        0.02065, -0.07628,   -0.23981, 4.04206, -0.95763,       42.23434, 60.00000, 0.06046,            0.40896, 0.39839, 0.41165,   19.77344, 1466,      3,3,3    
-0.04004, -0.20501,   0.38828, -0.60259, -0.51347,        0.01964, -0.05936,   -0.41561, 3.95018, -0.80311,       42.31657, 60.00000, 0.06214,            0.40899, 0.40296, 0.42899,   19.61205, 1463,      3,3,3    
-0.04389, -0.43633,   0.16630, -0.61668, -0.88315,        0.01867, -0.10241,   -0.31059, 3.90705, -1.52358,       42.33901, 60.00000, 0.06123,            0.39905, 0.40688, 0.41801,   19.64496, 1464,      3,3,3    
-0.04770, -0.21185,   0.05283, -0.64421, -0.57034,        0.01776, -0.04242,   -0.17963, 3.79847, -0.83945,       42.39994, 60.00000, 0.06002,            0.39908, 0.40939, 0.39663,   19.76234, 1466,      3,3,3    
-0.04943, -0.09211,   0.11926, -0.65612, -0.47451,        0.01805, 0.06190,   0.05694, 3.71114, -0.29959,         42.42327, 60.00000, 0.06067,            0.40909, 0.41209, 0.37442,   19.88346, 1467,      3,3,3    
-0.05069, -0.07842,   0.27333, -0.69135, -0.46827,        0.01877, 0.07242,   0.34036, 3.60704, -0.24380,         42.44377, 60.00000, 0.05952,            0.40914, 0.41486, 0.34402,   20.05931, 1470,      3,3,3    
-0.05194, -0.24486,   0.31877, -0.71956, -0.67957,        0.01908, -0.01069,   0.17292, 3.50619, -0.86806,        42.43837, 60.00000, 0.06128,            0.40918, 0.41699, 0.32247,   20.18136, 1472,      3,3,3    
-0.05456, -0.15602,   0.19362, -0.73204, -0.56035,        0.01893, 0.01264,   0.30180, 3.40377, -0.60473,         42.43088, 60.00000, 0.06050,            0.40922, 0.41860, 0.28676,   20.40404, 1475,      3,3,3    
-0.05718, -0.39968,   0.24401, -0.75338, -0.81227,        0.01795, -0.16752,   0.09389, 3.30570, -1.66874,        42.41010, 60.00000, 0.06006,            0.41925, 0.42117, 0.27497,   20.45634, 1476,      3,3,3    
-0.06092, -0.21004,   0.24422, -0.76795, -0.63202,        0.01678, -0.03160,   0.28821, 3.21024, -0.89905,        42.38040, 60.00000, 0.06065,            0.41928, 0.42478, 0.27719,   20.40480, 1475,      3,3,3    
-0.06338, -0.15043,   0.35257, -0.78224, -0.58045,        0.01648, 0.01022,   0.34203, 3.15228, -0.66743,         42.35654, 60.00000, 0.06279,            0.43929, 0.42786, 0.25532,   20.52006, 1477,      3,3,3    
-0.06452, -0.19808,   0.21789, -0.80308, -0.65000,        0.01662, -0.00777,   0.58763, 2.98012, -0.83834,        42.26843, 60.00000, 0.06526,            0.41937, 0.42887, 0.23552,   20.64218, 1478,      3,3,3    
-0.06712, -0.33676,   0.17515, -0.80665, -0.84745,        0.01626, -0.05927,   0.42804, 2.85974, -1.33248,        42.17972, 60.00000, 0.06820,            0.44937, 0.43409, 0.27426,   20.32871, 1474,      3,3,3    
-0.06958, -0.33541,   0.31688, -0.82050, -0.81812,        0.01585, -0.09496,   0.54431, 2.72842, -1.43185,        42.06243, 60.00000, 0.07213,            0.44942, 0.43658, 0.26387,   20.37303, 1475,      3,3,3    
-0.07251, -0.26729,   0.28321, -0.81875, -0.78124,        0.01475, -0.02484,   0.62812, 2.66990, -1.12216,        41.99477, 60.00000, 0.07685,            0.44947, 0.43852, 0.23813,   20.52550, 1477,      3,3,3    
-0.07418, -0.10945,   0.26633, -0.83173, -0.50496,        0.01465, -0.03627,   0.43059, 2.50308, -0.75616,        41.76518, 60.00000, 0.07974,            0.43951, 0.44069, 0.21964,   20.62551, 1478,      3,3,3    
-0.07577, -0.27316,   0.31629, -0.83896, -0.82300,        0.01456, -0.00698,   0.49200, 2.44906, -1.12425,        41.67520, 60.00000, 0.08236,            0.43955, 0.44241, 0.20398,   20.71266, 1479,      3,3,3    
-0.07768, -0.19713,   0.21010, -0.85447, -0.62195,        0.01452, -0.08036,   0.58097, 2.29004, -1.11162,        41.38572, 60.00000, 0.08555,            0.44957, 0.44442, 0.18268,   20.83405, 1481,      3,3,3    
-0.08073, -0.37491,   0.18138, -0.85522, -0.92166,        0.01350, -0.09265,   0.34638, 2.23897, -1.62978,        41.27370, 60.00000, 0.08752,            0.43962, 0.44302, 0.14153,   21.12213, 1485,      3,3,3    
-0.08339, -0.29891,   0.26447, -0.86967, -0.85460,        0.01298, -0.04302,   0.37248, 2.09633, -1.34348,        40.94632, 60.00000, 0.08866,            0.44963, 0.44513, 0.12775,   21.19233, 1486,      3,3,3    
-0.08621, -0.25846,   0.19912, -0.88138, -0.89583,        0.01296, 0.04465,   0.55368, 1.99811, -1.06267,         40.74013, 60.00000, 0.08764,            0.44966, 0.44617, 0.12123,   21.22503, 1487,      3,3,3    
-0.08790, -0.12483,   0.26352, -0.89304, -0.61429,        0.01336, -0.00921,   0.56355, 1.90051, -0.84679,        40.50283, 60.00000, 0.08875,            0.43969, 0.44613, 0.09168,   21.42249, 1490,      3,3,3    
-0.09010, -0.27187,   0.28064, -0.90096, -0.73713,        0.01292, -0.12401,   0.32695, 1.81179, -1.51120,        40.27200, 60.00000, 0.09334,            0.46970, 0.44829, 0.10058,   21.33941, 1489,      3,3,3    
-0.09201, -0.26020,   0.19808, -0.90502, -0.83445,        0.01229, -0.02922,   0.46343, 1.76782, -1.28887,        40.14015, 60.00000, 0.09522,            0.43974, 0.44772, 0.04857,   21.69257, 1494,      3,3,3    
-0.09527, -0.44083,   0.19409, -0.93138, -1.01416,        0.01161, -0.14139,   0.12963, 1.68784, -2.04626,        39.89585, 60.00000, 0.09752,            0.43975, 0.44702, 0.05021,   21.68706, 1494,      3,3,3    
